Y/M/D,AvgTemperature
2018/1/9,62.6
2016/10/22,46.6
2016/10/7,66.6
2020/1/17,28.9
2019/11/30,41.6
2016/9/20,68.1
2018/8/18,46.1
2019/5/18,-99
2018/1/26,4.9
2018/4/19,57.2
2016/5/3,54.2
2016/6/19,73.4
2019/10/5,62.2
2016/5/7,61
2016/12/8,39.6
2018/2/1,22.9
2016/1/22,66.3
2018/5/21,56
2020/4/16,60.9
2019/12/2,31.6
2016/6/10,74.2
2019/12/20,27.1
2018/6/9,72.8
2016/9/16,75
2019/9/26,57.1
2016/12/13,76.3
2019/11/23,50.9
2018/3/19,66.9
2019/11/20,84.2
2017/10/20,58.7
2019/3/26,57.9
2016/10/18,46.6
2017/12/9,63
2017/8/22,80
2019/5/26,75.4
2016/8/4,44.9
2017/4/23,56.3
2017/5/28,46.4
2020/2/13,41.9
2018/10/9,60.6
2016/6/30,76.4
2018/4/4,61.1
2018/9/5,75
2018/5/10,57.5
2018/10/17,62.6
2017/12/17,23
2018/4/7,62.4
2018/6/3,73.2
2019/8/13,50.2
2016/12/18,55.9
2019/2/17,27.3
2020/2/25,68.7
2020/1/27,62.6
2018/1/19,80.6
2017/8/12,82.3
2017/4/22,63
2016/11/13,58.1
2018/1/25,6.3
2018/10/4,51.6
2016/8/30,69.3
2018/8/21,77.6
2020/4/24,59.1
2016/4/13,57.9
2019/11/9,48
2017/8/16,54.6
2020/3/25,56.7
2018/1/16,36.9
2017/4/24,65.5
2019/4/5,49.3
2016/2/7,27.1
2019/8/1,49.6
2017/7/19,81.4
2018/8/27,74.9
2019/7/4,75.8
2017/10/24,59.9
2019/1/18,66.9
2020/5/9,46.7
2018/11/26,43.1
2016/6/22,53.1
2019/11/25,67
2019/3/18,70.4
2017/4/7,53.8
2017/11/12,42
2019/9/7,47.2
2018/5/9,55.2
2019/11/29,58
2017/9/6,67.8
2016/4/18,51.8
2016/6/15,69
2016/6/19,52.3
2020/1/2,66
2017/7/1,77.9
2017/4/6,66.3
2016/3/30,55.9
2019/4/28,54
2016/9/18,47.7
2019/3/13,37.3
2019/12/4,33.5
2020/4/22,43.9
2020/2/6,69.4
2016/3/17,77.5
2018/2/24,31.9
2017/5/20,57.3
2017/12/22,66.4
2018/7/7,49.7
2016/7/27,47.1
2020/4/6,55.2
2019/4/17,57.8
2019/8/4,50
2018/7/14,47.9
2019/2/12,55.3
2019/4/25,51.8
2017/3/15,80.3
2019/6/3,46.6
2016/2/18,36.7
2019/9/15,74.8
2016/7/19,52.6
2016/7/1,51.7
2017/1/5,41.5
2020/4/22,54.8
2019/3/1,39.6
2017/10/14,55.9
2016/2/3,63.5
2018/4/21,63
2017/7/15,44.6
2019/4/10,55.6
2017/12/12,69.5
2018/8/9,50.7
2018/2/13,34.7
2017/8/19,43.4
2018/12/7,17.4
2017/8/15,72.1
2017/12/18,31.1
2019/10/18,62.4
2018/12/1,38.5
2018/1/8,31.1
2020/4/25,53.4
2019/12/3,60.9
2019/2/8,64.1
2016/4/30,61.1
2018/2/3,68.6
2018/12/23,66.3
2017/2/8,86.2
2020/1/8,34.7
2019/6/25,75.8
2017/3/4,72.3
2016/7/30,82.8
2019/3/3,46.5
2016/8/4,85.6
2018/11/17,-99
2018/11/12,76
2017/8/15,57
2017/1/16,78.8
2017/8/19,78.6
2018/3/12,45.5
2018/5/24,65.1
2018/4/29,61.7
2017/11/9,47.7
2016/7/28,51.5
2020/3/30,60.4
2019/5/15,70
2017/5/16,60.5
2016/10/2,67.8
2016/3/30,48.7
2018/2/8,24.1
2020/5/1,49.7
2017/3/25,71.2
2016/4/16,59.8
2018/7/27,54.5
2016/6/3,51.4
2019/6/2,49.1
2016/6/2,71.4
2016/7/2,74.7
2020/4/13,52.3
2018/7/21,48.1
2019/5/21,63.2
2016/6/11,73.9
2016/3/28,50.3
2016/1/2,43.5
2020/2/22,60.5
2017/2/13,61.2
2018/6/16,70.8
2017/11/10,66.3
2018/10/10,49.9
2019/4/20,57.9
2017/10/22,55.7
2018/5/7,65.2
2019/8/19,78.5
2020/4/3,60.9
2018/11/2,68
2017/9/18,71
2020/3/13,61
2017/11/7,59.7
2019/4/5,72.8
2019/1/12,30.7
2018/5/26,67.4
2018/6/20,46.4
2018/2/20,30.9
2016/7/19,80.4
2016/4/13,56
2019/9/22,51.5
2020/5/4,50.8
2016/8/27,75.4
2019/9/11,77.2
2016/3/8,33.9
2018/12/13,24.6
2018/10/1,57.2
2019/10/11,53.4
2020/4/2,47.5
2018/4/4,53.4
2019/11/27,35.6
2017/2/15,33.5
2016/3/9,71.1
2020/3/5,62
2016/12/2,35.1
2017/11/6,54
2017/4/15,60.1
2016/2/2,74.3
2016/7/17,72.3
2016/3/24,42
2016/8/28,69.3
2016/5/9,64.9
2017/4/16,59.6
2019/6/29,73.7
2017/10/11,58.6
2020/1/28,66.4
2019/5/11,55
2018/5/16,69.7
2017/9/5,71.1
2017/11/14,41.2
2019/5/20,56.5
2020/1/20,60.9
2016/8/16,83.7
2019/3/31,38.5
2016/3/13,37.6
2017/2/22,32.6
2016/7/8,49
2017/10/30,42.4
2017/7/4,78.8
2016/8/17,51.2
2020/3/20,49.3
2018/6/6,55
2019/11/11,70.7
2016/5/1,52.4
2018/3/26,48.5
2018/2/5,68.9
2016/1/18,75.1
2020/1/30,39.5
2018/7/28,55.8
2016/8/11,85
2017/10/19,58.5
2019/11/29,33.1
2018/1/2,62.9
2018/9/14,74.9
2018/4/14,46.1
2018/12/21,40.3
2016/5/17,65.2
2018/9/26,64.6
2020/3/1,40.2
2016/7/15,49.3
2019/3/21,40.4
2017/8/13,57.1
2017/5/19,67.3
2017/5/9,60.9
2017/12/17,67.7
2017/5/7,60.9
2016/2/16,59.2
2017/6/4,70.1
2017/5/28,69.7
2017/3/1,71.2
2018/12/13,61.9
2016/10/15,66
2018/10/6,59.3
2019/10/11,66
2017/9/9,49
2017/3/31,55.1
2017/2/16,64.1
2016/6/27,75.3
2017/3/29,61
2017/2/10,21.6
2018/3/13,62
2020/4/29,57.6
2017/12/5,26.9
2019/9/3,53.8
2019/2/15,28.9
2017/5/18,67.8
2016/12/13,34.3
2018/4/8,71.5
2018/9/9,71
2017/12/22,40.4
2018/7/30,89.2
2019/6/28,57.6
2016/9/26,74.4
2016/3/28,60.6
2019/9/5,73.7
2017/10/2,66.9
2016/5/24,51.7
2018/1/19,31.3
2017/6/3,67
2018/5/11,54.5
2018/7/26,84.3
2018/6/10,49.2
2018/9/30,49.3
2019/7/26,77.1
2017/8/27,71.7
2019/5/8,53.6
2018/2/19,31.7
2018/12/26,22.7
2016/10/27,49.7
2019/10/8,48.1
2016/1/6,28.2
2019/1/5,23.5
2016/12/14,57.5
2019/8/13,83.2
2018/5/30,65.1
2019/1/25,27.4
2019/1/28,73.8
2017/2/5,71.1
2018/11/18,42
2019/2/9,21.1
2016/1/31,58.6
2019/5/30,67.3
2019/10/26,47
2017/3/16,40.3
2017/8/6,82.8
2017/1/27,23.7
2020/3/9,52.3
2017/3/12,44.1
2017/2/19,38.7
2017/5/2,48.8
2019/12/13,39.4
2018/7/19,48.8
2018/3/28,56.7
2019/8/11,86.6
2016/10/14,59.1
2019/2/21,33.5
2018/3/5,38.4
2016/1/30,64.4
2019/12/2,54
2017/10/9,54.4
2017/7/8,47.7
2017/7/6,82.9
2017/8/3,85.3
2017/3/7,66.8
2019/10/21,62.1
2018/12/10,29
2018/2/5,14.7
2017/9/16,71
2019/12/27,74.7
2017/5/6,57.7
2019/11/19,57.9
2018/6/8,52.6
2017/12/2,54.9
2016/1/11,73.6
2016/6/6,71.8
2018/11/19,77.7
2017/9/26,75.3
2019/3/23,70.5
2018/11/10,58
2020/1/29,39.4
2020/1/10,63.4
2019/12/1,37.6
2016/3/11,72.2
2016/12/5,38.5
2020/2/21,45.4
2019/7/5,51
2018/1/6,79.1
2019/6/13,72.2
2019/11/27,61.1
2018/4/15,61.7
2016/3/12,38.1
2018/1/14,37.8
2016/4/2,58
2017/1/23,14.1
2016/8/31,64.5
2016/4/12,58.4
2018/2/13,74.8
2019/12/28,74.4
2020/4/9,60
2019/1/3,74.1
2019/10/21,55
2016/10/28,54.4
2018/12/25,33.3
2018/5/9,58.7
2017/4/2,54.6
2016/11/17,45.5
2017/3/10,38.2
2019/7/1,74.7
2020/2/16,27
2017/6/17,71.8
2017/4/19,54.9
2019/8/20,82.6
2019/9/27,49.2
2018/12/28,14.7
2019/5/22,67.1
2019/2/20,32.1
2017/8/29,64.5
2016/8/23,44.9
2016/8/24,82.2
2016/2/5,27.6
2017/11/3,49.1
2017/1/18,28.6
2016/1/15,30
2018/9/28,47
2017/6/29,77.7
2017/9/22,68.4
2018/1/23,8.1
2016/2/25,68.2
2016/9/25,71.7
2018/5/14,65.1
2018/8/11,45.6
2018/12/5,66.3
2016/12/18,44.1
2016/8/19,47.3
2018/4/17,53.1
2018/8/5,85.8
2016/1/14,27.3
2018/12/17,63.7
2016/7/3,73.8
2016/10/29,41.4
2020/3/10,40.2
2016/11/11,-99
2016/1/25,19.3
2017/5/15,49.3
2019/7/9,51.3
2018/8/3,50.2
2019/2/5,68.5
2019/1/30,78.9
2016/6/4,68.7
2017/4/23,63.2
2019/12/5,20.6
2017/11/24,29.7
2019/6/3,71.8
2019/5/18,-99
2017/7/14,46.5
2018/3/10,79.6
2017/5/13,60.6
2017/6/10,67.2
2017/8/9,54.2
2016/5/3,55.3
2017/7/1,43.3
2018/3/27,54.5
2018/2/15,65.6
2019/2/27,41.2
2017/11/29,83.7
2018/7/17,79.6
2020/4/29,51.3
2018/3/29,60.9
2017/11/5,48.8
2016/9/4,76.2
2016/6/16,53.5
2016/7/12,44.1
2016/7/20,83.5
2017/6/23,49.8
2016/5/5,-99
2018/3/31,61
2018/7/22,88.5
2017/9/12,69.7
2017/12/4,55.9
2016/11/25,55.6
2017/5/12,63.1
2016/11/10,46.7
2016/1/17,32.8
2018/4/22,57
2018/3/18,45.4
2016/5/15,55.7
2018/9/13,55.9
2017/12/8,58.9
2018/1/26,73.2
2020/2/9,70.2
2017/1/26,33.4
2017/5/27,65.1
2018/10/22,63.1
2019/4/1,40.5
2019/11/16,42.5
2016/11/7,51.7
2016/4/28,60.3
2019/4/12,50.9
2017/3/5,68.8
2017/6/30,76.8
2018/4/7,40.3
2018/10/8,57.2
2019/4/3,62.7
2020/5/2,67.1
2017/2/26,70.8
2017/2/1,22.9
2017/11/30,25
2019/8/30,49
2016/8/6,85.2
2019/5/2,60.1
2016/1/13,22.8
2017/11/23,33
2020/1/4,31.2
2018/10/29,43.2
2017/3/30,54.2
2017/12/25,27.6
2017/12/24,32.1
2016/11/3,57.7
2018/11/30,59.5
2017/12/26,75.1
2017/11/8,55.1
2017/12/5,61.6
2019/11/2,60.6
2019/9/4,73.5
2018/3/13,57.1
2019/11/5,50.3
2017/5/2,64.2
2017/8/2,41.7
2020/3/11,38.3
2016/6/8,68.9
2019/4/2,43
2016/3/29,51.4
2020/3/12,73.6
2019/1/26,70.1
2017/7/14,81.9
2018/9/7,47.3
2019/11/24,62.3
2018/3/16,42.8
2019/8/16,47.9
2018/10/19,55.3
2019/8/23,50.5
2019/8/9,42.3
2018/1/20,32.1
2017/11/11,39.1
2017/7/7,80.1
2016/11/24,54.6
2018/9/28,64
2018/2/18,67.5
2018/11/25,40.1
2017/5/23,66.6
2019/9/18,63.3
2017/2/11,24.1
2016/4/17,55.4
2017/9/27,68.4
2018/7/3,80.4
2020/3/16,41.2
2018/8/5,54.2
2019/5/27,48.4
2018/3/26,54.8
2018/2/2,26
2019/7/6,84.3
2016/4/15,65.8
2017/7/20,85.8
2016/1/9,31.8
2017/10/8,65
2017/11/13,77.8
2019/9/6,50.4
2016/2/1,19.5
2016/3/15,42
2019/6/22,43.3
2016/1/31,22.8
2016/11/13,54.7
2019/10/24,62.5
2017/4/2,47.1
2017/3/2,69.2
2018/6/21,71.7
2017/1/15,21.1
2017/10/9,69.2
2018/7/28,83.2
2018/11/27,61.9
2019/8/10,44.2
2016/11/16,41.8
2017/12/30,34.3
2018/5/13,52
2018/3/19,46.2
2016/6/24,72.7
2018/12/22,59.2
2016/1/16,31.9
2019/10/3,62.4
2016/9/4,55.8
2018/12/15,66.4
2017/7/20,43
2019/6/1,63.7
2016/9/14,73.4
2020/3/27,49.5
2017/6/21,75.2
2018/3/25,46.4
2016/7/13,78.3
2018/4/13,58.7
2017/9/14,52.4
2018/8/30,52
2018/9/2,78.6
2017/9/2,57.6
2019/1/21,71.5
2018/7/8,75.9
2016/2/11,50.5
2017/7/10,74.4
2020/2/3,28
2017/9/29,55.7
2019/12/25,37
2017/7/23,80.4
2019/3/11,42
2018/1/3,62.9
2016/2/9,67.8
2017/12/31,65.8
2016/1/23,8.4
2018/7/12,79.2
2019/10/19,60.2
2017/10/6,66
2016/7/6,51
2016/3/14,38.5
2017/9/16,45.3
2017/7/18,79.8
2018/6/11,54.6
2019/3/6,42.7
2017/1/1,41.6
2019/4/25,60.9
2016/10/31,52.6
2016/1/18,14.6
2018/6/7,69.5
2016/5/2,69.8
2018/1/5,24
2018/8/14,87.8
2018/4/20,57.7
2019/2/25,79.2
2020/3/24,57.5
2017/3/6,66.4
2017/12/13,15.9
2017/7/29,81.3
2017/9/7,50.1
2016/9/12,50.6
2017/10/12,57
2016/7/11,53.9
2016/5/29,46.4
2019/1/29,74.8
2017/11/20,74.7
2018/3/2,65.1
2018/3/9,37
2016/7/28,79.4
2017/12/27,21.2
2019/3/17,40.3
2017/12/6,34.9
2019/6/17,70.2
2016/12/24,27
2016/7/27,81.9
2017/12/14,64.4
2018/1/22,25.7
2017/5/20,66.9
2017/7/11,44.6
2018/3/6,38.7
2018/7/27,85.6
2016/2/21,68.8
2017/9/15,71.8
2019/9/7,77.4
2016/9/22,67.9
2017/5/30,45.7
2016/3/26,41.5
2017/1/17,77.1
2018/9/7,68.1
2018/7/23,85.7
2016/1/16,65
2016/5/16,59.7
2019/4/27,54.9
2019/11/22,57
2017/5/22,68.8
2018/12/4,37
2017/2/23,28.6
2020/3/15,37.4
2018/3/17,44.5
2019/1/19,37.1
2016/12/22,37.4
2018/3/25,60.8
2016/6/11,45.8
2016/7/11,81.1
2016/1/27,26.1
2018/2/2,64.7
2018/4/9,66.7
2017/7/31,45.8
2016/12/3,39.9
2019/2/24,40.5
2018/7/15,47.3
2017/9/30,67.6
2018/5/29,51.3
2018/11/21,38.5
2017/3/9,37
2019/7/16,51.3
2016/9/7,75.4
2016/6/13,49.7
2019/5/29,43.9
2016/5/21,73
2017/4/13,61
2019/2/15,65.8
2019/5/11,64.5
2017/11/6,52.6
2018/11/25,58
2020/3/4,65.3
2019/3/26,51.2
2017/4/28,59.5
2019/7/21,77.7
2017/12/2,39.2
2016/10/20,66.3
2016/6/21,77.5
2019/8/23,76.7
2019/7/2,51.8
2019/10/4,51.5
2016/11/4,57.4
2016/5/16,60.5
2016/8/15,54.1
2016/6/9,53.3
2018/7/29,86.5
2019/9/2,56.6
2019/6/22,75.8
2019/12/12,29.2
2020/5/10,49.2
2017/6/29,47.1
2017/12/4,24.9
2019/11/28,61.4
2016/1/1,68.9
2019/2/1,64
2018/4/28,56.5
2018/11/24,37
2018/4/15,47.7
2017/6/8,49.1
2018/4/10,59.5
2016/12/19,73.2
2017/8/14,75.2
2016/11/9,36.8
2019/5/12,57
2018/12/16,32.3
2020/2/14,44.2
2017/3/7,28.3
2017/2/7,68.5
2017/10/13,53.2
2019/9/28,71.2
2016/4/9,51.9
2017/12/30,60.8
2016/6/1,73.2
2019/11/2,54.6
2016/9/20,56
2019/10/13,61.2
2018/8/31,52.1
2018/4/11,70.6
2018/8/12,86.4
2016/12/17,41.2
2018/12/12,75
2020/4/8,48
2016/7/7,50.2
2018/2/21,28.9
2018/7/14,80.7
2020/2/10,36.9
2016/7/24,81.7
2018/6/17,71.4
2016/9/28,57.6
2017/6/4,48.9
2016/9/15,51
2017/10/1,63.8
2016/6/7,69.6
2017/9/28,61.5
2019/3/24,73
2017/1/6,80.6
2017/6/22,74.8
2016/7/10,52.2
2016/9/3,52
2018/4/18,57.7
2018/2/10,24.4
2017/10/12,48.3
2020/2/7,31.9
2017/3/17,44.9
2019/5/10,62.5
2017/12/20,61.1
2018/12/30,63.8
2016/5/28,67.9
2018/1/13,25.9
2017/6/3,46
2016/10/15,64.7
2016/2/1,67.4
2019/12/23,33.6
2020/4/25,62.4
2020/1/22,69
2017/1/19,66.4
2018/11/15,-99
2016/11/1,33.5
2020/4/1,48.1
2017/11/24,73.7
2016/7/25,47.6
2017/12/28,31.4
2017/5/10,60.1
2017/8/18,44.8
2016/2/23,84.8
2016/3/9,33.1
2018/8/7,51.7
2017/2/17,28
2016/2/22,77.2
2017/7/26,46.9
2018/6/3,48.4
2017/3/28,65.1
2018/8/8,47.7
2018/4/30,66
2019/3/29,46
2017/5/3,49
2019/2/18,62.7
2019/4/21,67
2018/3/14,62.1
2018/5/31,46
2016/2/22,35.6
2017/10/17,59.5
2016/10/5,54.9
2017/8/5,50
2019/10/28,56.5
2020/1/10,30.5
